"data e hora","caso de teste","mensagem"
"[2023/05/03] 15:17:31.213","Consultar curso Pyhon","Iniciou o teste 1"
"[2023/05/03] 15:17:33.022","Consultar curso Pyhon","Abriu o site"
"[2023/05/03] 15:17:33.465","Consultar curso Pyhon","Clicou em Cursos"
"[2023/05/03] 15:17:34.309","Consultar curso Pyhon","Pesquisou Python"
"[2023/05/03] 15:17:35.144","Consultar curso Pyhon","Conferiu o preço"
"[2023/05/03] 15:17:35.360","Consultar curso Pyhon","Finalizou o primeiro teste"
"[2023/05/03] 15:17:37.516","Consultar curso Java","Iniciou o teste 2"
"[2023/05/03] 15:17:39.058","Consultar curso Java","Abriu o site"
"[2023/05/03] 15:17:39.156","Consultar curso Java","Clicou em Cursos"
"[2023/05/03] 15:17:40.387","Consultar curso Java","Pesquisou Introdução ao Java"
"[2023/05/03] 15:17:41.236","Consultar curso Java","Conferiu o preço"
"[2023/05/03] 15:17:41.448","Consultar curso Java","Finalizou o segundo teste"
